temperature,city,pressure,date
281.51,Paris,1016,2023-11-07 22:30
280.63,London,1009,2023-11-07 22:30
283.44,Washington,1013,2023-11-07 22:30
281.51,Paris,1016,2023-11-07 22:29
280.63,London,1009,2023-11-07 22:29
283.44,Washington,1013,2023-11-07 22:29
281.51,Paris,1016,2023-11-07 22:28
280.63,London,1009,2023-11-07 22:28
283.44,Washington,1013,2023-11-07 22:28
281.51,Paris,1016,2023-11-07 22:27
280.63,London,1009,2023-11-07 22:27
283.44,Washington,1013,2023-11-07 22:27
281.51,Paris,1016,2023-11-07 22:23
280.63,London,1009,2023-11-07 22:23
283.44,Washington,1013,2023-11-07 22:23
281.51,Paris,1016,2023-11-07 22:22
280.63,London,1009,2023-11-07 22:22
283.44,Washington,1013,2023-11-07 22:22
281.77,Paris,1016,2023-11-07 22:17
280.6,London,1009,2023-11-07 22:17
283.44,Washington,1013,2023-11-07 22:17
